RAS002,test.result.1,test.result.2,test.result.3,conformity
A01_gDNA.._unkn_B.Globin,y,y,y,TRUE
A01_gDNA.._unkn_HPRT1,n,n,n,TRUE
A02_gDNA.._unkn_B.Globin,y,y,y,TRUE
A02_gDNA.._unkn_HPRT1,n,n,n,TRUE
A03_gDNA.._unkn_B.Globin,y,y,y,TRUE
A03_gDNA.._unkn_HPRT1,n,n,n,TRUE
A04_gDNA.._unkn_B.Globin,y,y,y,TRUE
A04_gDNA.._unkn_HPRT1,n,n,n,TRUE
A05_gDNA.._unkn_B.Globin,y,y,y,TRUE
A05_gDNA.._unkn_HPRT1,n,n,n,TRUE
A06_gDNA.._unkn_B.Globin,y,y,y,TRUE
A06_gDNA.._unkn_HPRT1,n,n,n,TRUE
A07_gDNA.._unkn_B.Globin,n,n,n,TRUE
A07_gDNA.._unkn_HPRT1,n,n,n,TRUE
A08_gDNA.._unkn_B.Globin,n,n,n,TRUE
A08_gDNA.._unkn_HPRT1,n,n,n,TRUE
A09_gDNA.._unkn_B.Globin,n,n,n,TRUE
A09_gDNA.._unkn_HPRT1,n,n,n,TRUE
A10_gDNA.._unkn_B.Globin,n,n,n,TRUE
A10_gDNA.._unkn_HPRT1,n,n,n,TRUE
A11_gDNA.._unkn_B.Globin,n,n,n,TRUE
A11_gDNA.._unkn_HPRT1,n,n,n,TRUE
A12_gDNA.._unkn_B.Globin,n,n,n,TRUE
A12_gDNA.._unkn_HPRT1,n,n,n,TRUE
B01_gDNA.._unkn_B.Globin,y,y,y,TRUE
B01_gDNA.._unkn_HPRT1,n,n,n,TRUE
B02_gDNA.._unkn_B.Globin,y,y,y,TRUE
B02_gDNA.._unkn_HPRT1,n,n,n,TRUE
B03_gDNA.._unkn_B.Globin,y,y,y,TRUE
B03_gDNA.._unkn_HPRT1,n,n,n,TRUE
B04_gDNA.._unkn_B.Globin,y,y,y,TRUE
B04_gDNA.._unkn_HPRT1,n,n,n,TRUE
B05_gDNA.._unkn_B.Globin,y,y,y,TRUE
B05_gDNA.._unkn_HPRT1,n,n,n,TRUE
B06_gDNA.._unkn_B.Globin,y,y,y,TRUE
B06_gDNA.._unkn_HPRT1,n,n,n,TRUE
B07_gDNA.._unkn_B.Globin,n,n,n,TRUE
B07_gDNA.._unkn_HPRT1,n,n,n,TRUE
B08_gDNA.._unkn_B.Globin,n,n,n,TRUE
B08_gDNA.._unkn_HPRT1,n,n,n,TRUE
B09_gDNA.._unkn_B.Globin,n,n,n,TRUE
B09_gDNA.._unkn_HPRT1,n,n,n,TRUE
B10_gDNA.._unkn_B.Globin,n,n,n,TRUE
B10_gDNA.._unkn_HPRT1,n,n,n,TRUE
B11_gDNA.._unkn_B.Globin,n,n,n,TRUE
B11_gDNA.._unkn_HPRT1,n,n,n,TRUE
B12_gDNA.._unkn_B.Globin,n,n,n,TRUE
B12_gDNA.._unkn_HPRT1,n,n,n,TRUE
C01_gDNA.._unkn_B.Globin,y,y,y,TRUE
C01_gDNA.._unkn_HPRT1,n,n,n,TRUE
C02_gDNA.._unkn_B.Globin,y,y,y,TRUE
C02_gDNA.._unkn_HPRT1,n,n,n,TRUE
C03_gDNA.._unkn_B.Globin,y,y,y,TRUE
C03_gDNA.._unkn_HPRT1,n,n,n,TRUE
C04_gDNA.._unkn_B.Globin,y,y,y,TRUE
C04_gDNA.._unkn_HPRT1,n,n,n,TRUE
C05_gDNA.._unkn_B.Globin,y,y,y,TRUE
C05_gDNA.._unkn_HPRT1,n,n,n,TRUE
C06_gDNA.._unkn_B.Globin,y,y,y,TRUE
C06_gDNA.._unkn_HPRT1,n,n,n,TRUE
C07_gDNA.._unkn_B.Globin,n,n,n,TRUE
C07_gDNA.._unkn_HPRT1,n,n,n,TRUE
C08_gDNA.._unkn_B.Globin,n,n,n,TRUE
C08_gDNA.._unkn_HPRT1,n,n,n,TRUE
C09_gDNA.._unkn_B.Globin,n,n,n,TRUE
C09_gDNA.._unkn_HPRT1,n,n,n,TRUE
C10_gDNA.._unkn_B.Globin,n,n,n,TRUE
C10_gDNA.._unkn_HPRT1,n,n,n,TRUE
C11_gDNA.._unkn_B.Globin,n,n,n,TRUE
C11_gDNA.._unkn_HPRT1,n,n,n,TRUE
C12_gDNA.._unkn_B.Globin,n,n,n,TRUE
C12_gDNA.._unkn_HPRT1,n,n,n,TRUE
D01_gDNA.._unkn_B.Globin,y,y,y,TRUE
D01_gDNA.._unkn_HPRT1,n,n,n,TRUE
D02_gDNA.._unkn_B.Globin,y,y,y,TRUE
