test.result.1,test.result.2,test.result.3,conformity
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
y,y,y,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
n,n,n,TRUE
