sample,test.result.1,test.result.2,test.result.3,conformity
P01.W01,y,a,a,FALSE
P01.W02,a,y,a,FALSE
P01.W03,y,a,a,FALSE
P01.W04,y,a,a,FALSE
P01.W05,y,a,a,FALSE
P01.W06,a,a,a,TRUE
P01.W07,a,a,a,TRUE
P01.W08,y,a,a,FALSE
P01.W09,y,a,a,FALSE
P01.W10,n,a,a,FALSE
P01.W11,y,y,a,FALSE
P01.W12,a,a,a,TRUE
P01.W13,y,a,y,FALSE
P01.W14,y,a,y,FALSE
P01.W15,y,a,y,FALSE
P01.W16,y,a,a,FALSE
P01.W17,y,a,a,FALSE
P01.W18,a,a,a,TRUE
P01.W19,y,a,a,FALSE
P01.W20,y,a,a,FALSE
P01.W21,a,a,a,TRUE
P01.W22,y,a,a,FALSE
P01.W23,y,a,a,FALSE
P01.W24,y,a,a,FALSE
P01.W25,y,a,a,FALSE
P01.W26,a,a,a,TRUE
P01.W27,y,y,a,FALSE
P01.W28,y,a,a,FALSE
P01.W29,y,a,a,FALSE
P01.W30,y,a,a,FALSE
P01.W31,y,a,a,FALSE
P01.W32,y,a,a,FALSE
P01.W33,a,a,y,FALSE
P01.W34,y,a,a,FALSE
P01.W35,y,a,a,FALSE
P01.W36,y,y,y,TRUE
P01.W37,y,a,a,FALSE
P01.W38,a,a,a,TRUE
P01.W39,y,a,a,FALSE
P01.W40,y,a,a,FALSE
P01.W41,a,a,a,TRUE
P01.W42,y,a,a,FALSE
P01.W43,y,a,a,FALSE
P01.W44,y,a,a,FALSE
P01.W45,a,a,a,TRUE
P01.W46,y,a,a,FALSE
P01.W47,a,a,a,TRUE
P01.W48,y,y,a,FALSE
P01.W49,y,y,a,FALSE
P01.W50,a,a,y,FALSE
P01.W51,y,a,a,FALSE
P01.W52,a,a,a,TRUE
P01.W53,y,a,a,FALSE
P01.W54,y,a,a,FALSE
P01.W55,y,y,y,TRUE
P01.W56,a,a,a,TRUE
P01.W57,y,a,a,FALSE
P01.W58,n,n,n,TRUE
P01.W59,a,a,a,TRUE
P01.W60,y,a,a,FALSE
P01.W61,a,y,a,FALSE
P01.W62,a,a,a,TRUE
P01.W63,y,a,a,FALSE
P01.W64,a,a,a,TRUE
P01.W65,a,a,a,TRUE
P01.W66,y,a,a,FALSE
P01.W67,y,a,a,FALSE
P01.W68,a,a,a,TRUE
P01.W69,y,a,a,FALSE
P01.W70,y,a,a,FALSE
P01.W71,y,a,a,FALSE
P01.W72,y,a,a,FALSE
P01.W73,y,a,y,FALSE
P01.W74,y,a,a,FALSE
P01.W75,y,a,a,FALSE
P01.W76,a,a,a,TRUE
P01.W77,a,a,a,TRUE
P01.W78,a,a,a,TRUE
P01.W79,y,a,y,FALSE
P01.W80,a,a,a,TRUE
P01.W81,y,a,a,FALSE
P01.W82,a,a,a,TRUE
P01.W83,y,a,a,FALSE
P01.W84,a,y,a,FALSE
P01.W85,a,a,a,TRUE
P01.W86,y,a,a,FALSE
P01.W87,y,a,a,FALSE
P01.W88,a,a,a,TRUE
P01.W89,a,a,a,TRUE
P01.W90,y,y,a,FALSE
P01.W91,y,a,a,FALSE
P01.W92,a,a,a,TRUE
P01.W93,y,a,a,FALSE
P01.W94,a,a,a,TRUE
P01.W95,y,a,a,FALSE
P01.W96,y,a,a,FALSE
P02.W01,y,y,y,TRUE
P02.W03,y,y,y,TRUE
P02.W05,y,y,y,TRUE
P02.W06,y,y,y,TRUE
P02.W07,y,y,y,TRUE
P02.W08,y,y,y,TRUE
P02.W09,y,y,y,TRUE
P02.W10,y,y,y,TRUE
P02.W11,y,y,y,TRUE
P02.W13,y,y,y,TRUE
P02.W14,y,y,y,TRUE
P02.W15,y,y,y,TRUE
P02.W16,y,y,y,TRUE
P02.W17,y,y,y,TRUE
P02.W18,y,y,y,TRUE
P02.W19,y,y,y,TRUE
P02.W20,y,y,y,TRUE
P02.W21,y,y,y,TRUE
P02.W22,y,y,y,TRUE
P02.W23,y,y,y,TRUE
P02.W24,y,y,y,TRUE
P02.W25,y,y,y,TRUE
P02.W26,y,y,y,TRUE
P02.W27,y,y,y,TRUE
P02.W28,y,y,y,TRUE
P02.W29,y,y,y,TRUE
P02.W30,y,y,y,TRUE
P02.W31,y,y,y,TRUE
P02.W32,y,y,y,TRUE
P02.W33,y,y,y,TRUE
P02.W34,y,y,y,TRUE
P02.W35,y,y,a,FALSE
P02.W36,y,y,y,TRUE
P02.W37,y,y,y,TRUE
P02.W38,a,a,a,TRUE
P02.W39,y,y,y,TRUE
P02.W40,y,y,y,TRUE
P02.W41,y,y,y,TRUE
P02.W42,y,y,y,TRUE
