reps2,"test.result.1","test.result.2","test.result.3","conformity"
"F1.1.1","y","y","y",TRUE
"F1.1.2","y","y","y",TRUE
"F1.1.3","y","y","y",TRUE
"F1.2.1","y","y","y",TRUE
"F1.2.2","y","y","y",TRUE
"F1.2.3","y","y","y",TRUE
"F1.3.1","y","y","y",TRUE
"F1.3.2","y","y","y",TRUE
"F1.3.3","y","y","y",TRUE
"F1.4.1","y","y","y",TRUE
"F1.4.2","y","y","y",TRUE
"F1.4.3","y","y","y",TRUE
"F1.5.1","y","y","y",TRUE
"F1.5.2","y","y","y",TRUE
"F1.5.3","y","y","y",TRUE
"F2.1.1","y","y","y",TRUE
"F2.1.2","y","y","y",TRUE
"F2.1.3","y","y","y",TRUE
"F2.2.1","y","y","y",TRUE
"F2.2.2","y","y","y",TRUE
"F2.2.3","y","y","y",TRUE
"F2.3.1","y","y","y",TRUE
"F2.3.2","y","y","y",TRUE
"F2.3.3","y","y","y",TRUE
"F2.4.1","y","y","y",TRUE
"F2.4.2","y","y","y",TRUE
"F2.4.3","y","y","y",TRUE
"F2.5.1","y","y","y",TRUE
"F2.5.2","y","y","y",TRUE
"F2.5.3","y","y","y",TRUE
